[1681757460000, '29524.91000000', '29526.55000000', '29498.61000000', '29522.56000000', '11.49179000']
[1681757640000, '29522.55000000', '29522.55000000', '29513.00000000', '29518.54000000', '6.28619900']
[1681757820000, '29518.53000000', '29524.97000000', '29517.52000000', '29524.96000000', '4.31358500']
[1681758000000, '29524.96000000', '29527.98000000', '29512.24000000', '29515.12000000', '6.10618300']
[1681758180000, '29515.12000000', '29524.05000000', '29501.15000000', '29501.15000000', '8.10007300']
[1681758360000, '29501.14000000', '29542.10000000', '29500.88000000', '29535.92000000', '8.62225200']
[1681758540000, '29535.93000000', '29536.09000000', '29521.99000000', '29521.99000000', '3.71899300']
[1681758720000, '29522.00000000', '29522.79000000', '29517.68000000', '29518.64000000', '4.09465800']
[1681758900000, '29518.64000000', '29518.66000000', '29505.90000000', '29510.98000000', '6.79122800']
[1681759080000, '29510.97000000', '29540.00000000', '29510.97000000', '29540.00000000', '7.59027300']
[1681759260000, '29539.99000000', '29557.80000000', '29539.99000000', '29557.80000000', '6.66730500']
[1681759440000, '29553.82000000', '29560.71000000', '29544.80000000', '29560.71000000', '7.39773300']
[1681759620000, '29560.78000000', '29564.66000000', '29551.77000000', '29552.93000000', '7.50213100']
[1681759800000, '29552.46000000', '29579.51000000', '29551.08000000', '29569.59000000', '8.93285100']
[1681759980000, '29569.42000000', '29570.24000000', '29522.92000000', '29525.86000000', '8.58987500']
[1681760160000, '29525.87000000', '29531.98000000', '29516.24000000', '29516.27000000', '5.35770400']
[1681760340000, '29516.28000000', '29516.28000000', '29483.92000000', '29488.36000000', '12.25262200']
[1681760520000, '29488.36000000', '29492.95000000', '29488.36000000', '29492.40000000', '1.81352700']
[1681760700000, '29492.39000000', '29495.01000000', '29459.15000000', '29476.08000000', '7.71709100']
[1681760880000, '29476.08000000', '29507.55000000', '29475.03000000', '29507.21000000', '8.64856200']
[1681761060000, '29507.21000000', '29519.85000000', '29505.94000000', '29506.99000000', '5.76917800']
[1681761240000, '29506.99000000', '29507.96000000', '29460.81000000', '29473.58000000', '8.41932800']
[1681761420000, '29473.46000000', '29473.46000000', '29465.20000000', '29467.03000000', '2.69305100']
[1681761600000, '29467.29000000', '29485.67000000', '29467.07000000', '29483.53000000', '5.54867600']
[1681761780000, '29483.54000000', '29491.03000000', '29483.54000000', '29487.74000000', '2.51691400']
[1681761960000, '29487.04000000', '29492.73000000', '29484.97000000', '29492.73000000', '3.52547500']
[1681762140000, '29490.36000000', '29490.36000000', '29469.61000000', '29469.97000000', '5.86706400']
[1681762320000, '29469.63000000', '29485.16000000', '29468.17000000', '29470.51000000', '5.42063300']
[1681762500000, '29470.52000000', '29486.81000000', '29470.10000000', '29472.34000000', '6.31959800']
[1681762680000, '29472.33000000', '29475.77000000', '29472.23000000', '29472.34000000', '1.87853400']
[1681762860000, '29472.33000000', '29473.34000000', '29468.70000000', '29472.86000000', '2.79492800']
[1681763040000, '29472.80000000', '29472.80000000', '29441.78000000', '29442.58000000', '3.56229400']
[1681763220000, '29442.49000000', '29446.72000000', '29429.90000000', '29446.00000000', '8.05676700']
[1681763400000, '29446.01000000', '29458.32000000', '29445.81000000', '29458.32000000', '4.74528200']
[1681763580000, '29459.09000000', '29467.13000000', '29459.09000000', '29462.92000000', '3.00155600']
[1681763760000, '29462.92000000', '29483.26000000', '29460.90000000', '29474.82000000', '5.75970800']
[1681763940000, '29474.81000000', '29480.68000000', '29463.03000000', '29463.90000000', '3.70354000']
[1681764120000, '29463.91000000', '29463.99000000', '29449.87000000', '29457.21000000', '4.42552200']
[1681764300000, '29457.26000000', '29457.26000000', '29438.37000000', '29438.37000000', '1.85528200']
[1681764480000, '29438.37000000', '29447.66000000', '29421.11000000', '29447.66000000', '8.68343100']
